"s_31";6;"Strongly agree"
"s_32";1;"Strongly disagree"
"s_32";2;"Disagree"
"s_32";3;"Slightly disagree"
"s_32";4;"Slightly agree"
"s_32";5;"Agree"
"s_32";6;"Strongly agree"
"s_33";1;"Strongly disagree"
"s_33";2;"Disagree"
"s_33";3;"Slightly disagree"
"s_33";4;"Slightly agree"
"s_33";5;"Agree"
"s_33";6;"Strongly agree"
"s_34";1;"Yes"
"s_34";2;"No"
"s_35";1;"Yes"
"s_35";2;"No"
"s_37";1;"Yes"
"s_37";2;"No"
"s_39";1;"Yes, it has"
"s_39";2;"No, it hasn't"
"s_40";1;"Yes"
"s_40";2;"No"
"s_41";1;"Yes"
"s_41";2;"No"
"s_42";1;"Strongly disagree"
"s_42";2;"Disagree"
"s_42";3;"Slightly disagree"
"s_42";4;"Slightly agree"
"s_42";5;"Agree"
"s_42";6;"Strongly agree"
"s_42";7;"It doesn't apply"
"s_43";1;"Strongly disagree"
"s_43";2;"Disagree"
"s_43";3;"Slightly disagree"
"s_43";4;"Slightly agree"
"s_43";5;"Agree"
"s_43";6;"Strongly agree"
"s_43";7;"It doesn't apply"
"s_44";1;"Strongly disagree"
"s_44";2;"Disagree"
"s_44";3;"Slightly disagree"
"s_44";4;"Slightly agree"
"s_44";5;"Agree"
"s_44";6;"Strongly agree"
"s_44";7;"It doesn't apply"
"s_45";1;"Strongly disagree"
"s_45";2;"Disagree"
"s_45";3;"Slightly disagree"
"s_45";4;"Slightly agree"
"s_45";5;"Agree"
"s_45";6;"Strongly agree"
"s_45";7;"It doesn't apply"
"s_46";1;"Strongly disagree"
"s_46";2;"Disagree"
"s_46";3;"Slightly disagree"
"s_46";4;"Slightly agree"
"s_46";5;"Agree"
"s_46";6;"Strongly agree"
"s_46";7;"It doesn't apply"
"s_47";1;"Strongly disagree"
"s_47";2;"Disagree"
"s_47";3;"Slightly disagree"
"s_47";4;"Slightly agree"
"s_47";5;"Agree"
"s_47";6;"Strongly agree"
"s_47";7;"It doesn't apply"
"s_48";1;"Strongly disagree"
